Entrez Gene IDs	RSCE_10_BC2CTUACXX_AGTTCC_L006_R1.bam	RSCE_12_BC2CTUACXX_TGACCA_L005_R1.bam	RSCE_14_BC2CTUACXX_GTCCGC_L003_R1.bam	RSCE_16_BC2CTUACXX_AGTTCC_L004_R1.bam	RSCE_18_BC2CTUACXX_CAGATC_L003_R1.bam	RSCE_20_BC2CTUACXX_GTGAAA_L005_R1.bam	RSCE_2_BC2CTUACXX_CGATGT_L007_R1.bam	RSCE_4_BC2CTUACXX_TGACCA_L006_R1.bam	RSCE_6_BC2CTUACXX_CTTGTA_L005_R1.bam	RSCE_8_BC2CTUACXX_CCGTCC_L007_R1.bam
30845	89	78	155	196	115	124	336	298	36	37
30846	395	300	358	440	485	561	585	457	399	346
30848	0	0	2	0	985	1017	0	0	1	0
30849	1322	1046	668	924	1721	1715	893	783	1525	1424
30850	385	322	363	392	494	523	598	509	647	537
30851	1756	1586	379	504	1244	1212	1443	1494	1523	1697
30968	3120	2845	1025	1396	1644	1640	2539	2008	2107	1890
43847	0	0	0	0	0	0	0	0	2	1
43849	0	0	0	0	0	0	0	0	0	0
49854	355	297	426	570	494	583	421	343	577	586
49855	152	158	172	252	462	424	283	266	186	191
49856	181	190	145	214	375	396	209	139	260	244
49860	0	0	0	0	0	0	0	0	0	0
49861	0	0	0	0	0	0	0	0	0	0
50484	1381	1396	599	759	991	1136	1721	1599	822	950
50485	536	493	356	441	332	371	347	303	567	518
50486	2291	3764	688	766	3	4	11	7	673	594
50487	0	1	1	3	0	0	0	0	0	0
50488	1421	1162	393	551	968	1001	1206	974	1489	1405
50489	0	0	1	0	0	0	0	0	4	2
50506	0	0	15	31	1	0	1	4	0	0
50507	0	0	0	0	0	0	0	0	0	0
50508	0	0	0	0	0	0	0	0	0	0
50509	2	2	3	10	292	334	14	31	5	3
50511	2	0	1	0	1	1	2	1	0	0
50512	252	280	34	40	256	245	123	124	776	877
50514	0	1	2	0	0	0	0	1	1	10
50515	1223	1235	643	765	471	546	771	712	832	761
50604	0	0	0	0	0	0	0	1	0	3
50613	0	0	0	0	0	0	0	0	0	0
50614	11	13	749	881	0	0	37	10	98	145
50615	0	0	8	6	1	3	0	0	11	5
50616	0	0	0	0	0	0	0	0	0	0
50617	7	6	12	6	198	221	1	3	6	8
50618	830	704	284	479	610	699	1271	905	731	705
50619	203	171	198	246	49	42	3	1	428	353
50624	35	29	21	44	28	35	37	32	19	14
50626	178	157	231	328	404	390	307	321	204	219
50628	1710	1216	228	373	459	525	1383	943	1445	1379
50632	0	0	0	0	0	0	1	1	0	0
50636	20	23	7	22	10	12	16	11	14	13
50640	683	733	388	477	887	899	516	665	984	1199
50649	56	38	164	268	108	122	31	27	91	86
50650	611	631	243	331	304	292	169	172	693	748
50651	1	3	6	20	10	5	43	30	12	5
50652	0	0	0	0	0	0	0	0	0	0
50674	0	0	0	0	0	0	0	0	0	0
50700	0	0	0	0	1	1	0	0	0	1
50717	1233	970	828	1058	1581	1591	1099	962	2027	1789
50801	1	1	1	2	1	0	2	0	3	2
50804	74	66	256	285	71	47	503	369	25	19
50805	0	0	1	2	0	1	1	2	0	0
50807	3504	2355	1035	1308	832	866	1749	1331	482	354
50808	480	451	644	855	963	957	1226	1180	441	414
50809	2628	2287	2152	3307	6062	5941	3599	3511	3005	2895
50810	878	893	837	1073	1190	1167	1652	1435	670	790
50813	865	761	467	700	737	782	849	799	868	741
50814	976	739	271	384	134	120	407	322	597	524
50831	5	3	2	3	3	3	8	2	0	0
50832	4	3	3	5	5	8	5	5	4	0
50833	0	0	0	0	0	0	0	0	0	0
50834	0	0	0	0	0	0	0	0	0	0
50835	0	0	0	0	0	0	0	0	0	0
50836	0	0	0	1	0	0	0	0	0	0
50837	0	0	1	0	0	0	0	0	0	0
50838	7	0	4	6	3	2	6	4	1	2
50839	4	2	4	6	1	4	1	1	0	1
50840	11	11	9	13	15	16	12	12	17	11
50846	1	0	0	0	1	0	2	0	0	3
50848	4921	4160	1872	4139	569	518	1315	1482	2242	2609
50852	0	0	0	0	0	0	0	0	0	0
50853	1	2	47	61	4	2	3	1	67	51
50854	1236	1112	1021	1281	940	912	491	502	1826	1664
50855	18	31	12	30	6	10	15	8	10	16
50856	6	6	2	0	1	3	0	1	4	4
50858	0	0	0	0	0	0	0	0	0	0
50859	1	2	5	4	0	0	0	0	0	0
50861	103	123	240	485	12	3	213	119	1500	1700
50862	802	630	995	1676	600	700	777	801	913	925
50863	0	0	0	0	0	0	0	0	0	0
50865	134	133	97	131	61	68	94	87	59	59
50937	266	193	450	385	316	357	163	154	362	333
50939	12	5	1	3	16	7	6	3	7	15
50940	7	0	26	44	0	1	295	549	5	6
50943	0	1	1	2	0	0	0	2	3	3
50944	0	0	3	1	4	0	0	0	4	7
50945	0	0	0	1	0	0	0	0	0	0
50964	0	0	1	0	0	1	8	2	0	0
50999	4289	4044	1940	2493	8755	9435	1437	1375	1970	1913
51000	237	224	288	312	188	251	240	213	389	331
51001	303	266	329	474	591	626	599	483	489	494
51002	594	604	399	650	604	549	870	882	619	615
51003	304	264	85	99	308	319	310	249	337	376
51004	263	244	185	270	265	251	274	279	522	508
51005	380	253	181	322	175	181	192	153	360	330
51006	363	307	213	334	941	875	446	396	459	473
51008	384	330	259	349	460	562	928	907	499	463
51009	588	600	285	376	675	870	1007	826	771	730
51010	819	683	342	565	639	749	754	675	615	637
51011	311	326	327	560	284	261	425	455	580	616
51012	3422	3311	1334	1817	4607	5279	2614	2339	2913	2884
51013	405	358	224	341	326	388	471	435	601	550
51014	2163	1899	3710	5279	4013	4369	2682	2627	3170	3263
51015	565	548	240	392	289	293	402	380	359	362
51016	309	304	89	118	231	267	276	235	116	131
51018	1501	1208	719	1227	1136	1227	1434	1177	1251	1174
51019	176	151	316	483	289	300	366	336	254	241
51020	596	645	319	441	856	937	1039	1017	590	589
51021	1322	1221	883	1293	2044	2169	2348	2200	2194	2164
51022	412	368	202	262	195	289	408	368	253	327
51023	525	386	186	273	332	358	281	252	365	347
51024	835	828	220	278	644	712	574	527	1369	1529
51025	211	266	114	205	186	199	216	196	318	291
51026	1849	1658	1419	1861	5300	6066	2159	2233	1424	1519
51027	87	92	133	164	255	229	188	201	331	340
51028	653	527	219	394	994	1073	935	788	316	288
51029	2141	1971	1621	2360	1843	1989	2400	2156	2440	2697
51030	515	423	215	321	1112	1294	999	792	447	508
51031	1650	1637	375	507	684	723	1849	1627	1588	1376
51032	0	0	0	0	0	0	0	0	0	0
51035	955	865	566	795	668	725	694	617	995	924
51042	431	408	107	137	308	366	183	144	361	283
51043	556	433	630	886	629	558	470	500	345	376
51046	0	0	0	0	0	0	0	0	0	0
51050	0	0	0	1	1	2	1	2	0	0
51052	0	0	0	0	0	0	0	0	0	0
51053	609	527	449	600	1138	1146	638	584	780	683
51054	211	216	140	174	227	238	186	169	280	312
51056	1598	1504	792	1106	1170	1161	857	742	1130	1107
51057	97	77	56	68	69	71	95	86	70	93
51058	217	184	40	71	105	127	68	80	93	66
51059	0	0	0	0	0	1	0	0	0	0
51060	1767	1779	808	1250	964	1056	1190	1116	1100	1122
51061	400	316	638	984	558	612	446	365	535	424
51062	68	66	183	224	282	299	74	65	133	186
51063	75	61	123	153	144	141	17	12	299	308
51065	336	405	870	1108	1562	1741	3316	3650	776	832
51066	1	0	0	2	4	1	3	4	5	2
51067	862	853	170	314	2923	3172	802	756	605	593
51068	2313	1963	1057	1517	2153	2392	1220	1041	2250	1965
51069	478	451	183	306	397	391	255	275	495	417
51070	586	543	303	493	1245	1310	684	735	550	558
51071	2559	2214	614	899	785	869	1192	1087	706	653
51072	349	368	145	189	247	282	417	360	406	383
51073	1980	1784	549	763	710	787	551	500	2009	1941
51074	17	25	316	417	236	259	384	291	289	277
51075	1712	1354	819	1078	1504	1584	2093	1943	1670	1572
51076	247	267	162	259	260	281	710	566	596	582
51077	891	851	712	859	442	438	607	487	898	824
51078	969	825	503	798	605	604	973	879	1237	1118
51079	1025	880	1286	1883	1933	1987	658	711	2728	3536
51081	1550	1336	516	791	1123	1205	1824	1587	1605	1525
51082	975	867	473	696	781	829	696	605	352	371
51083	130	134	7	14	6	5	15	2	0	1
51084	25	19	64	84	8	4	57	63	52	59
51085	4	4	2	5	1	2	18	15	14	14
51086	1	0	4	7	0	0	0	1	0	4
51087	179	112	11	17	12	6	7	9	73	95
51088	2260	2415	2026	2718	1983	2208	2175	2029	1464	1649
51090	47	38	24	73	24	27	9	11	19	20
51091	307	289	250	346	455	456	210	213	364	324
51092	85	77	171	235	306	293	117	109	180	155
51093	120	106	166	271	155	196	149	158	154	181
51094	1454	1541	1488	2470	1677	1836	1327	1264	1189	1258
51095	372	246	202	269	544	584	656	515	474	426
51096	1287	1160	513	852	1001	1021	1714	1456	1100	1068
51097	796	816	1254	1695	959	1020	1285	1270	1460	1642
51098	396	399	246	341	950	981	681	584	464	482
51099	748	780	256	382	550	731	427	384	1360	1330
51100	1970	1853	1281	1786	3032	3343	864	807	1009	872
51101	145	138	122	187	159	171	109	93	116	108
51102	297	258	124	173	157	166	165	150	271	270
51103	257	263	116	155	112	148	162	152	473	440
51104	467	354	378	524	454	486	516	528	537	536
51105	753	577	1141	1493	1528	1701	1899	1709	431	422
51106	355	310	121	151	191	178	116	105	128	105
51107	1789	1521	1927	2938	1894	2160	1446	1292	2467	2539
51108	1026	1072	2396	3401	1581	1692	1985	1968	1917	1923
51109	2878	2399	1457	2215	1562	1663	1837	1867	3648	3583
51110	369	377	385	702	701	747	951	1108	609	631
51111	948	801	503	768	1452	1643	696	664	1221	1112
51112	343	335	142	219	320	335	590	508	736	704
51114	1145	905	610	1074	219	236	448	468	663	638
51115	477	457	550	783	1068	1160	562	531	957	1071
51116	1915	1546	505	761	426	425	836	688	1408	1268
51117	599	523	442	626	351	340	390	372	542	571
51118	576	573	386	744	1118	1230	633	626	763	717
51119	2182	2091	723	1024	1701	2217	1389	1019	3090	2967
51121	381	385	221	356	276	333	384	310	540	560
51122	629	609	376	654	1273	1348	891	750	684	658
51123	314	323	164	234	269	292	203	190	147	150
51124	552	542	476	684	1499	1633	862	846	990	1008
51125	528	494	556	776	592	661	928	857	683	619
51126	942	914	535	957	1588	1617	1433	1184	1204	1079
51127	0	0	17	18	7	4	1	0	1	1
51128	1432	1077	1354	2034	935	1039	1364	1229	1479	1455
51129	68	172	131	173	168	236	171	225	235	223
51130	40	31	43	63	27	34	34	48	25	21
51131	103	62	161	206	64	92	64	48	53	48
51132	6466	5735	2412	3367	3396	3234	3367	3212	3778	3712
51133	1229	1037	1161	1444	775	721	1396	1289	2238	2202
51134	464	461	255	304	683	729	507	484	304	274
51135	490	448	236	329	111	142	287	307	757	933
51136	299	272	138	168	446	501	351	398	444	451
51138	1038	960	547	706	1215	1310	723	636	770	817
51141	506	602	471	636	394	398	115	116	214	247
51142	12327	11134	2066	3214	2550	2942	2622	2369	5323	5204
51143	760	792	415	538	2178	2277	1392	1152	1209	1192
51144	986	952	1107	1692	1849	1890	1516	1505	2317	2012
51145	3	0	0	2	5	7	1	0	2	1
51146	0	0	0	0	0	0	0	0	0	0
51147	154	168	226	210	249	260	162	219	142	133
51148	506	429	298	339	795	771	325	340	535	518
51149	102	116	77	129	73	96	114	120	99	97
51150	884	800	1203	1589	1503	1584	785	716	1307	1174
51151	1	0	1	0	1	2	2	1	2	0
51154	1336	1110	615	920	1666	1823	1193	966	1144	1016
51155	3042	2677	1974	3052	1926	1902	2872	2650	2779	2444
51156	0	0	0	0	0	0	0	1	0	0
51157	46	22	21	25	119	120	85	86	130	81
51160	184	153	339	485	484	513	383	433	221	209
51161	29	17	31	30	73	74	53	58	167	180
51162	19	18	126	185	229	222	329	276	3	9
51163	572	532	350	568	567	610	349	316	769	720
51164	1517	1285	1681	2215	1014	1159	993	844	1841	1790
51166	49	33	65	61	69	51	139	97	337	251
51167	361	367	171	259	721	716	569	587	322	341
51168	6	8	4	2	8	4	3	5	7	10
51170	305	317	876	1199	1276	1337	947	1107	992	1011
51171	0	0	45	27	23	31	37	53	13	14
51172	238	174	314	367	178	184	196	210	481	491
51174	239	196	170	228	156	152	407	349	295	332
51175	179	135	113	169	210	213	193	177	288	240
51176	0	0	3	14	0	0	0	0	0	0
51177	82	100	228	183	797	773	105	131	343	442
51179	0	0	0	0	0	0	0	0	0	0
51181	305	266	173	276	238	275	318	324	247	278
51182	346	301	398	590	1016	1116	968	888	882	849
51184	466	502	378	440	722	805	618	551	607	637
51185	324	313	266	349	601	688	437	419	551	654
51186	924	1020	858	848	1347	1342	616	590	308	293
51187	1319	1285	659	1000	1588	1747	2878	2598	1470	1619
51188	236	236	83	117	299	353	174	163	309	328
51191	155	133	182	248	593	609	193	159	300	263
51192	335	316	431	654	976	1067	298	254	666	717
51193	873	806	915	1424	1444	1598	530	498	962	1007
51194	1781	1503	969	1415	657	714	1361	1195	1528	1457
